车次,车站,到时,发时
G2,南京,0,52
G2,仙林,57,57
G2,宝华山,61,61
G2,镇江,71,71
G2,丹徒,75,75
G2,丹阳,79,79
G2,常州,94,99
G2,戚墅堰,104,104
G2,惠山,108,108
G2,无锡,115,0
G2,无锡新区,6,6
G2,苏州新区,11,11
G2,苏州,17,19
G2,苏州园区,24,24
G2,阳澄湖,28,28
G2,昆山南,31,31
G2,花桥,34,34
G2,安亭北,37,37
G2,南翔北,41,41
G2,上海西,43,43
G2,上海,47,0
G4,南京,0,46
G4,仙林,51,51
G4,宝华山,55,55
G4,镇江,65,65
G4,丹徒,69,69
G4,丹阳,73,73
G4,常州,88,96
G4,戚墅堰,101,101
G4,惠山,105,105
G4,无锡,112,114
G4,无锡新区,120,120
G4,苏州新区,5,5
G4,苏州,11,13
G4,苏州园区,18,18
G4,阳澄湖,22,22
G4,昆山南,25,25
G4,花桥,28,28
G4,安亭北,31,31
G4,南翔北,35,35
G4,上海西,37,37
G4,上海,41,0
G6,南京,0,72
G6,仙林,77,77
G6,宝华山,81,81
G6,镇江,91,91
G6,丹徒,95,95
G6,丹阳,99,99
G6,常州,114,120
G6,戚墅堰,5,5
G6,惠山,9,9
G6,无锡,16,18
G6,无锡新区,24,24
G6,苏州新区,29,29
G6,苏州,35,37
G6,苏州园区,42,42
G6,阳澄湖,46,46
G6,昆山南,49,49
G6,花桥,52,52
G6,安亭北,55,55
G6,南翔北,59,59
G6,上海西,61,61
G6,上海,65,0
G8,南京,0,49
G8,仙林,54,54
G8,宝华山,58,58
G8,镇江,68,68
G8,丹徒,72,72
G8,丹阳,76,76
G8,常州,91,93
G8,戚墅堰,98,98
G8,惠山,102,102
G8,无锡,109,111
G8,无锡新区,117,117
G8,苏州新区,2,2
G8,苏州,8,16
G8,苏州园区,21,21
G8,阳澄湖,25,25
G8,昆山南,28,28
G8,花桥,31,31
G8,安亭北,34,34
G8,南翔北,38,38
G8,上海西,40,40
G8,上海,44,0
G10,南京,0,101
G10,仙林,106,106
G10,宝华山,110,110
G10,镇江,120,0
G10,丹徒,4,4
G10,丹阳,8,8
G10,常州,20,20
G10,戚墅堰,23,23
G10,惠山,27,27
G10,无锡,31,31
G10,无锡新区,35,35
G10,苏州新区,40,40
G10,苏州,46,48
G10,苏州园区,53,53
G10,阳澄湖,57,57
G10,昆山南,60,60
G10,花桥,63,63
G10,安亭北,66,66
G10,南翔北,70,70
G10,上海西,72,72
G10,上海,76,0
G12,南京,0,78
G12,仙林,83,83
G12,宝华山,87,87
G12,镇江,97,97
G12,丹徒,101,101
G12,丹阳,105,105
G12,常州,117,117
G12,戚墅堰,0,0
G12,惠山,4,4
G12,无锡,11,13
G12,无锡新区,19,19
G12,苏州新区,24,24
G12,苏州,27,27
G12,苏州园区,30,30
G12,阳澄湖,34,34
G12,昆山南,37,37
G12,花桥,40,40
G12,安亭北,43,43
G12,南翔北,47,47
G12,上海西,49,49
G12,上海,53,0
G14,南京,0,56
G14,仙林,61,61
G14,宝华山,65,65
G14,镇江,75,75
G14,丹徒,79,79
G14,丹阳,83,83
G14,常州,98,106
G14,戚墅堰,111,111
G14,惠山,115,115
G14,无锡,2,10
G14,无锡新区,16,16
G14,苏州新区,21,21
G14,苏州,24,24
G14,苏州园区,27,27
G14,阳澄湖,31,31
G14,昆山南,34,34
G14,花桥,37,37
G14,安亭北,40,40
G14,南翔北,44,44
G14,上海西,46,46
G14,上海,50,0
G16,南京,0,43
G16,仙林,48,48
G16,宝华山,52,52
G16,镇江,62,62
G16,丹徒,66,66
G16,丹阳,70,70
G16,常州,82,82
G16,戚墅堰,85,85
G16,惠山,89,89
G16,无锡,96,103
G16,无锡新区,109,109
G16,苏州新区,114,114
G16,苏州,120,8
G16,苏州园区,13,13
G16,阳澄湖,17,17
G16,昆山南,20,20
G16,花桥,23,23
G16,安亭北,26,26
G16,南翔北,30,30
G16,上海西,32,32
G16,上海,36,0
G18,南京,0,40
G18,仙林,45,45
G18,宝华山,49,49
G18,镇江,59,59
G18,丹徒,63,63
G18,丹阳,67,67
G18,常州,79,79
G18,戚墅堰,82,82
G18,惠山,86,86
G18,无锡,93,96
G18,无锡新区,102,102
G18,苏州新区,107,107
G18,苏州,113,115
G18,苏州园区,0,0
G18,阳澄湖,4,4
G18,昆山南,7,7
G18,花桥,10,10
G18,安亭北,13,13
G18,南翔北,17,17
G18,上海西,19,19
G18,上海,23,0
G20,南京,0,12
G20,仙林,17,17
G20,宝华山,21,21
G20,镇江,31,31
G20,丹徒,35,35
G20,丹阳,39,39
G20,常州,54,56
G20,戚墅堰,61,61
G20,惠山,65,65
G20,无锡,69,69
G20,无锡新区,73,73
G20,苏州新区,78,78
G20,苏州,84,92
G20,苏州园区,97,97
G20,阳澄湖,101,101
G20,昆山南,104,104
G20,花桥,107,107
G20,安亭北,110,110
G20,南翔北,114,114
G20,上海西,116,116
G20,上海,0,0
G22,南京,0,1
G22,仙林,6,6
G22,宝华山,10,10
G22,镇江,20,20
G22,丹徒,24,24
G22,丹阳,28,28
G22,常州,43,45
G22,戚墅堰,50,50
G22,惠山,54,54
G22,无锡,61,63
G22,无锡新区,69,69
G22,苏州新区,74,74
G22,苏州,77,77
G22,苏州园区,80,80
G22,阳澄湖,84,84
G22,昆山南,87,87
G22,花桥,90,90
G22,安亭北,93,93
G22,南翔北,97,97
G22,上海西,99,99
G22,上海,103,0
G24,南京,0,115
G24,仙林,0,0
G24,宝华山,4,4
G24,镇江,17,23
G24,丹徒,29,29
G24,丹阳,36,42
G24,常州,59,61
G24,戚墅堰,66,66
G24,惠山,73,76
G24,无锡,82,82
G24,无锡新区,89,97
G24,苏州新区,104,104
G24,苏州,110,118
G24,苏州园区,3,3
G24,阳澄湖,7,7
G24,昆山南,13,15
G24,花桥,20,20
G24,安亭北,23,23
G24,南翔北,27,27
G24,上海西,29,29
G24,上海,33,0
G1,南京,54,0
G1,仙林,48,48
G1,宝华山,44,44
G1,镇江,34,34
G1,丹徒,30,30
G1,丹阳,26,26
G1,常州,6,12
G1,戚墅堰,120,0
G1,惠山,116,116
G1,无锡,108,110
G1,无锡新区,101,101
G1,苏州新区,96,96
G1,苏州,89,91
G1,苏州园区,83,83
G1,阳澄湖,79,79
G1,昆山南,76,76
G1,花桥,73,73
G1,安亭北,70,70
G1,南翔北,66,66
G1,上海西,64,64
G1,上海,0,61
G3,南京,37,0
G3,仙林,31,31
G3,宝华山,27,27
G3,镇江,17,17
G3,丹徒,13,13
G3,丹阳,9,9
G3,常州,113,115
G3,戚墅堰,107,107
G3,惠山,103,103
G3,无锡,95,97
G3,无锡新区,88,88
G3,苏州新区,83,83
G3,苏州,74,78
G3,苏州园区,68,68
G3,阳澄湖,64,64
G3,昆山南,61,61
G3,花桥,58,58
G3,安亭北,55,55
G3,南翔北,51,51
G3,上海西,49,49
G3,上海,0,46
G5,南京,73,0
G5,仙林,67,67
G5,宝华山,63,63
G5,镇江,53,53
G5,丹徒,49,49
G5,丹阳,45,45
G5,常州,25,31
G5,戚墅堰,19,19
G5,惠山,15,15
G5,无锡,7,9
G5,无锡新区,0,0
G5,苏州新区,115,115
G5,苏州,104,110
G5,苏州园区,98,98
G5,阳澄湖,94,94
G5,昆山南,91,91
G5,花桥,88,88
G5,安亭北,85,85
G5,南翔北,81,81
G5,上海西,79,79
G5,上海,0,76
G7,南京,60,0
G7,仙林,54,54
G7,宝华山,50,50
G7,镇江,40,40
G7,丹徒,36,36
G7,丹阳,32,32
G7,常州,16,18
G7,戚墅堰,10,10
G7,惠山,6,6
G7,无锡,118,120
G7,无锡新区,111,111
G7,苏州新区,106,106
G7,苏州,95,101
G7,苏州园区,89,89
G7,阳澄湖,85,85
G7,昆山南,82,82
G7,花桥,79,79
G7,安亭北,76,76
G7,南翔北,72,72
G7,上海西,70,70
G7,上海,0,67
G9,南京,20,0
G9,仙林,14,14
G9,宝华山,10,10
G9,镇江,120,0
G9,丹徒,116,116
G9,丹阳,112,112
G9,常州,100,100
G9,戚墅堰,97,97
G9,惠山,93,93
G9,无锡,89,89
G9,无锡新区,85,85
G9,苏州新区,80,80
G9,苏州,71,75
G9,苏州园区,65,65
G9,阳澄湖,61,61
G9,昆山南,58,58
G9,花桥,55,55
G9,安亭北,52,52
G9,南翔北,48,48
G9,上海西,46,46
G9,上海,0,43
G11,南京,49,0
G11,仙林,43,43
G11,宝华山,39,39
G11,镇江,29,29
G11,丹徒,25,25
G11,丹阳,21,21
G11,常州,9,9
G11,戚墅堰,6,6
G11,惠山,2,2
G11,无锡,113,116
G11,无锡新区,106,106
G11,苏州新区,101,101
G11,苏州,98,98
G11,苏州园区,95,95
G11,阳澄湖,91,91
G11,昆山南,88,88
G11,花桥,85,85
G11,安亭北,82,82
G11,南翔北,78,78
G11,上海西,76,76
G11,上海,0,73
G13,南京,97,0
G13,仙林,91,91
G13,宝华山,87,87
G13,镇江,77,77
G13,丹徒,73,73
G13,丹阳,69,69
G13,常州,53,55
G13,戚墅堰,47,47
G13,惠山,43,43
G13,无锡,31,37
G13,无锡新区,24,24
G13,苏州新区,19,19
G13,苏州,16,16
G13,苏州园区,13,13
G13,阳澄湖,9,9
G13,昆山南,6,6
G13,花桥,3,3
G13,安亭北,0,0
G13,南翔北,116,116
G13,上海西,114,114
G13,上海,0,111
G15,南京,68,0
G15,仙林,62,62
G15,宝华山,58,58
G15,镇江,48,48
G15,丹徒,44,44
G15,丹阳,40,40
G15,常州,28,28
G15,戚墅堰,25,25
